NAME,TYPE,LOCATION,
"Application Insights Smart Detection","Action group","Global"
"ASP-jsbackend-9132","App Service plan","West Europe"
"ASP-jsbackend-99eb","App Service plan","West Europe"
"ASP-jsbackend-9fca","App Service plan","West Europe"
"ASP-jsbackend-b37a","App Service plan","West Europe"
"ASP-jsbackend-bbec","App Service plan","West Europe"
"ASP-jsbackend-bd88","App Service plan","West Europe"
"jb-silicon","Service Bus Namespace","Sweden Central"
"jb-silicon-accountprovider","Function App","West Europe"
"jb-silicon-accountprovider","Application Insights","West Europe"
"jb-silicon-cosmos","Azure Cosmos DB account","Sweden Central"
"jb-silicon-courseProvider","Function App","West Europe"
"jb-silicon-courseProvider","Application Insights","West Europe"
"jb-silicon-dbserver","SQL server","Sweden Central"
"jb-silicon-profileProvider","Function App","West Europe"
"jb-silicon-profileProvider","Application Insights","West Europe"
"jb-silicon-subscriberProvider","Function App","West Europe"
"jb-silicon-subscriberProvider","Application Insights","West Europe"
"jb-silicon-tokenprovider","Function App","West Europe"
"jb-silicon-tokenprovider","Application Insights","West Europe"
"jbsiliconstorage","Storage account","Sweden Central"
"jsbackendabb0","Storage account","West Europe"
"jsbackendb84a","Storage account","West Europe"
"jsbackendba33","Storage account","West Europe"
"silicon-db (jb-silicon-dbserver/silicon-db)","SQL database","Sweden Central"
"win23jsbackend-johanbard","App Service","West Europe"
"win23jsbackend-johanbard","Application Insights","West Europe"
"win23jsbackend-johanbard202406021110","Application Insights","West Europe"
"win23jsbackend-johanbard202406021417","Application Insights","West Europe"